name,url,author,date
Sling TV finally launches on the Amazon Echo Show 8 and 10,https://www.theverge.com/2023/4/14/23683156/sling-tv-amazon-echo-show-launch-streaming,EMMA ROTH,Apr-14
How two insurgents are taking on Twitter,https://www.theverge.com/23683140/artifact-substack-notes-twitter-competitors,CASEY NEWTON,Apr-14
OpenAI’s CEO confirms the company isn’t training GPT-5 and ‘won’t for some time’,https://www.theverge.com/2023/4/14/23683084/openai-gpt-5-rumors-training-sam-altman,JAMES VINCENT,Apr-14
"Kia EV6 GT review: the attainable, guilt-free supercar",https://www.theverge.com/23680537/kia-ev6-gt-review-ev-specs-price-photos,TIM STEVENS,Apr-14
The Fox News defamation case might be almost as entertaining as Succession,https://www.theverge.com/2023/4/14/23682366/fox-news-defamation-dominion-trial-rupert-murdoch,ELIZABETH LOPATTO,Apr-14
"Twitter Blue’s new 10,000 character limit turns tweets into essays",https://www.theverge.com/2023/4/14/23683082/twitter-blue-10000-character-limit-bold-italic-features-substack-newsletter,JESS WEATHERBED,Apr-14
Hackers reportedly holding Western Digital data hostage,https://www.theverge.com/2023/4/14/23683081/western-digital-hack-data-hostage-report,TOM WARREN,Apr-14
First look at Cybertruck’s comically large windshield wiper in action,https://www.theverge.com/2023/4/14/23683065/cybertruck-windshield-wiper-tesla-video,THOMAS RICKER,Apr-14
The perfect Lego Nintendo Game Boy doesn’t exist...,https://www.theverge.com/21578775/lego-nintendo-game-boy-fan-model-nick-lever-masters,SEAN HOLLISTER,Apr-14
"Bungie is ready to ban XIM, Cronus cheaters from Destiny 2",https://www.theverge.com/2023/4/13/23682499/bungie-xim-cheat-device-hardware-ban-suspend-destiny-2,UMAR SHAKIR,Apr-14
Here’s a collection of gifts you can give mom no matter the occasion,https://www.theverge.com/22899871/best-gifts-mom-tech-gadgets-ideas-christmas-birthday-mothers-valentines-day,SHEENA VASANI,Apr-14
"In Final Fantasy XVI, you can command the dog (and a whole lot more)",https://www.theverge.com/23680770/final-fantasy-16-gameplay-april-sony-state-of-play,ASH PARRISH,Apr-14
The best Xbox controller to buy right now,https://www.theverge.com/23025443/best-xbox-controllers-one-series-x-s,ANTONIO G. DI BENEDETTO,Apr-14
"Anker, Bambu, Prusa, Creality: 3D printers suddenly have a need for speed",https://www.theverge.com/2023/4/13/23681219/anker-bambu-prusa-creality-3d-printer-speed-arms-race,SEAN HOLLISTER,Apr-14
National Guard member arrested for leaking classified documents on Discord,https://www.theverge.com/2023/4/13/23682097/discord-leak-national-guard-classified-documents,EMMA ROTH,Apr-14
EA shares new trailer for its single-player shooter with magic spells,https://www.theverge.com/2023/4/13/23682477/ea-immortals-of-aveum-single-player-shooter-magic-spells-originals-release-date,JAY PETERS,Apr-14
Spotify finally adds iOS 16 support for home and lock screen widgets,https://www.theverge.com/2023/4/13/23681889/spotify-ios-16-lock-home-screen-widgets-support,UMAR SHAKIR,Apr-14
Suicide Squad kills another release date,https://www.theverge.com/2023/4/13/23682376/suicide-squad-kill-the-justice-league-delayed-february-2024,ASH PARRISH,Apr-14
"Google Chat is getting a new look to match Docs, Sheets, and Gmail",https://www.theverge.com/2023/4/13/23682345/google-chat-new-look-material-3-design,EMMA ROTH,Apr-14
Twitter is rebranding Super Follows to Subscriptions,https://www.theverge.com/2023/4/13/23682184/twitter-super-follows-subscriptions-rebranding,JAY PETERS AND EMMA ROTH,APR 13
Valve’s Steam Deck: all the news about the new gaming handheld,https://www.theverge.com/22579493/valve-steam-deck-gaming-handheld-pc,JAY PETERS,APR 13
Amazon offers free access to its AI coding assistant to undercut Microsoft,https://www.theverge.com/2023/4/13/23681796/amazon-ai-coding-assistant-codewhisperer-microsoft,EMMA ROTH,APR 13
Is Substack Notes a ‘Twitter clone’? We asked CEO Chris Best,https://www.theverge.com/23681875/substack-notes-twitter-elon-musk-content-moderation-free-speech,NILAY PATEL,APR 13
"Tears of the Kingdom is still shrouded in mystery, and that’s just the way I like it",https://www.theverge.com/23681825/the-legend-of-zelda-tears-of-the-kingdom-mystery,JAY PETERS,APR 13
A data scientist cloned his best friends’ group chat using AI,https://www.theverge.com/2023/4/13/23671059/ai-chatbot-clone-group-chat,JAMES VINCENT,APR 13
How to take screenshots on your Windows 11 PC,https://www.theverge.com/23030210/screenshots-windows-11-how-to,BARBARA KRASNOFF,APR 13
New Arkansas bill to keep minors off social media exempts most social media platforms,https://www.theverge.com/2023/4/13/23681770/arkansas-social-media-bill-restricts-minors-parental-consent,JESS WEATHERBED,APR 13
Microsoft’s HoloLens 2 headset is getting a Windows 11 upgrade,https://www.theverge.com/2023/4/13/23681505/microsoft-hololens-2-windows-11-update-release-date,TOM WARREN,APR 13
You can now talk to Microsoft’s Bing chatbot from your keyboard in iOS with SwiftKey,https://www.theverge.com/2023/4/13/23681493/microsoft-bing-ios-integration-swiftkey-ios-android-availability,JAMES VINCENT,APR 13
"Ubisoft Plus is finally launching on Xbox, but it will have fewer games than on PC",https://www.theverge.com/2023/4/13/23679677/ubisoft-plus-xbox-launch,JAY PETERS,APR 13
"Asus’ latest ROG gaming phones are faster, cooler, and louder",https://www.theverge.com/2023/4/13/23681738/asus-rog-phone-7-ultimate-price-release-date-specs-features-gaming-cooling,JON PORTER,APR 13
The Legend of Zelda: Tears of the Kingdom — all the latest on Nintendo’s huge sequel,https://www.theverge.com/2023/3/27/23658874/the-legend-of-zelda-tears-of-the-kingdom-news-announcements,JAY PETERS,APR 13
Zelda: Tears of the Kingdom’s final trailer has open skies and lots of drama,https://www.theverge.com/2023/4/13/23680631/tears-of-the-kingdom-final-trailer-nintendo,ASH PARRISH,APR 13
